event,bunker_ssvid,neighbor_ssvid,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
10cd0f84e211d57fb7ad0b8bed31739d,311027800,601175000,2018-12-22T06:40:00Z,2018-12-22T09:00:00Z,-33.87499058,18.22861531,0.06,0.996,2.333333333
e1f514f7e47ca8c1332abff1eee7258e,311027800,601175000,2019-06-08T13:40:00Z,2019-06-08T17:10:00Z,-33.89858385,18.21378814,0.123,0.694,3.5
4d7c4290915cddc8123f48959a3ecccf,311027900,601175000,2019-09-28T14:30:00Z,2019-09-28T17:10:00Z,-33.88272797,18.24381572,0.046,0.989,2.666666667
5788688d71410b115e5149d4af126b88,311038100,601175000,2016-06-04T06:00:00Z,2016-06-04T08:40:00Z,-33.86083415,18.22658154,0.12,1.959,2.666666667
ea10b7ee090737be94d98074c47ce2ad,311038100,601175000,2019-02-14T10:30:00Z,2019-02-14T12:40:00Z,-33.86249836,18.24102242,0.06,1.452,2.166666667
b864c06b508dcdff3ab6f596b744c370,311038100,601175000,2017-12-17T06:00:00Z,2017-12-17T08:40:00Z,-33.84461498,18.26356151,0.078,1.129,2.666666667
a8ca206deab1992308affe175c8f1cec,311038100,601175000,2017-07-29T07:00:00Z,2017-07-29T09:10:00Z,-33.87751564,18.25127928,0.055,1.494,2.166666667
b3b93690d5424fdb9121c3c8f34c3b8e,311038100,601175000,2018-01-21T08:30:00Z,2018-01-21T10:50:00Z,-33.85576466,18.23901976,0.047,1.202,2.333333333
c34bb913c5c0e7ba4797bb6f51c7b125,311038400,601175000,2016-10-03T08:30:00Z,2016-10-03T11:10:00Z,-33.85327657,18.23700139,0.041,0.749,2.666666667
ed8d88f3a5c395a256fe8d50c937d5d6,311038500,601258800,2018-03-15T08:30:00Z,2018-03-15T11:10:00Z,-33.86237391,18.24163108,0.089,1.639,2.666666667
4815328079c1a50136ffacd405677741,311038600,601175000,2019-05-22T16:50:00Z,2019-05-22T19:00:00Z,-33.83549697,18.24258619,0.114,1.161,2.166666667
