event,carrier_mmsi,neighbor_mmsi,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
ecc164723ef66524091a4843e5b21ec8,273354740,440038000,2017-08-23T23:20:00Z,2017-08-24T07:50:00Z,45.17539546,150.1086169,0.042,0.347,8.5
2008578712533b780387809ebd37476a,273354740,440060000,2017-08-23T23:00:00Z,2017-08-24T04:50:00Z,45.17520206,150.1109599,0.027,0.326,5.833333333
0b6700c358aeabbade4d4c17650a6b9b,273354740,440179000,2017-08-21T20:40:00Z,2017-08-22T10:00:00Z,45.19703721,149.9891959,0.04,0.569,13.33333333
2ca8be4ca2439cb96e8dce5f5414d0a8,273354740,440668000,2016-07-24T10:50:00Z,2016-07-24T15:40:00Z,63.55048276,179.3985634,0.029,0.01,4.833333333
b72645acbe9a8f86717c16cf52835d1c,273354740,440701000,2017-08-22T20:40:00Z,2017-08-22T23:30:00Z,45.36577415,149.9804734,0.023,0.116,2.833333333
67c2a69a8a36658977bc7a3daaaf52d5,273354740,440793000,2017-08-27T20:10:00Z,2017-08-27T23:30:00Z,46.15171247,152.1173559,0.034,0.612,3.333333333
c019d5a7738e355c770e783d8549ead7,273354740,440964000,2017-08-28T20:10:00Z,2017-08-29T01:40:00Z,46.33810281,152.4379215,0.044,0.84,5.5
f468391dbb72c5213a809ec857e8c1a9,273354740,441074000,2017-08-25T21:40:00Z,2017-08-26T05:10:00Z,46.3535165,152.3719211,0.026,1.31,7.5
7de9596f0847a800f81846a627b8e72c,273354770,273245600,2018-07-06T14:40:00Z,2018-07-08T05:20:00Z,62.92543175,179.4461798,0.034,0.02,38.66666667
5b5c399b3c26972751be19caa7003de0,273354770,273245600,2019-11-09T17:10:00Z,2019-11-11T01:30:00Z,59.34847079,148.3328485,0.044,0.039,32.33333333
56126ffd31d9c3059b56871f8b043b7f,273354770,273245600,2017-12-01T08:30:00Z,2017-12-01T11:00:00Z,59.50546669,163.3533951,0.077,0.173,2.5
2cf92411632aa114f0e8b38702ff60c0,273354770,273245600,2019-01-05T07:50:00Z,2019-01-06T05:20:00Z,52.55233604,155.9196391,0.055,0.127,21.5
3586acdc5a0ff25a9d7584b3fad8f36d,273354770,273245600,2017-02-05T07:50:00Z,2017-02-05T10:10:00Z,52.59488632,155.857951,0.054,1.054,2.333333333
f7b60b4672f7726d952e0af2f2938c73,273354770,273245600,2018-02-26T09:30:00Z,2018-02-26T13:00:00Z,52.62668072,155.7694286,0.041,0.109,3.5
